name,page,level,embedding_score
걱쇼,335363,43,0.24911627728795238
겡연,351495,10,0.2485737807230819
긴요,350030,10,0.2276246132500167
일슴,352596,10,0.22253453806630308
킨음,346444,12,0.21223739931327257
킨슥,347139,11,0.21172986132832206
키임,347179,11,0.20921017680429554
긴인,351528,10,0.2073226161488858
교시,351956,10,0.20442909947959476
교셔,336466,40,0.2027730694284533
세쿄,352371,10,0.20208987223788566
키이,343107,22,0.2013278428306815
류슥,351488,10,0.1998512653249096
셍큐,339644,32,0.19741655408252523
유소,337275,37,0.19692192403428022
시슈,347291,11,0.19320973919108253
륜슴,352633,10,0.1877322519908896
쇼슈,352397,10,0.18636350313539451
슈케,351563,10,0.14589545804411652
키큐,339515,32,0.14370273852444315
